Endpoint slug,Type,Use case,Scenario,Arguments,Returns,Description,Data sensitivity,summary,operationId,responseOK
API tag: admin,,,,,,,,,,
CRUDL for Policy object,,,,,,,,,,
/admin/policy/,GET,"UC-C-PIC-A-001, UC-C-PIC-A-002",,PolicyFilter,Policy<list>,LIST - Fetches list of readable Policy objects,FALSE,Returns a list of readable Policy objects,adminListPolicy,A list of Policy objects readable for the current session's credentials.
/admin/policy/,POST,UC-C-PIC-A-001,,Policy,"Policy, Revision",CREATE - Creates a new Policy object and returns the new object and a PolicyRevision,FALSE,,adminCreatePolicy,"A set consisting of the new Policy object created, together with the initial Revision object."
/admin/policy/{id}/,GET,UC-C-PIC-A-003,,,"Policy, Revision",READ - get a Policy object + PolicyRevision,FALSE,,adminReadPolicy,
/admin/policy/{id}/,POST,UC-C-PIC-A-002,,Policy,"Policy, Revision","UPDATE - Updates an existing Policy object, returning the updated version and a new revision",FALSE,,adminUpdatePolicy,
/admin/policy/{id}/,DELETE,UC-C-PIC-A-004,,,Revision,,FALSE,,adminDeletePolicy,
CRUDL for Agreement object,,,,,,,FALSE,,,
/admin/agreement/,GET,UC-C-PIC-A-003,,AgreementFilter,Agreement<List>,,FALSE,,adminListAgreement,
/admin/agreement/{id}/,GET,UC-C-PIC-A-003,,,"Agreement, Revision",READ - fetches the latest version of an Agreement,FALSE,,adminReadAgreement,
/admin/agreement/,POST,UC-C-PIC-A-001,,Agreement,"Agreement, Revision",CREATE - A new Agreement object is created and returned together with AgreementRevision,FALSE,,adminCreateAgreement,
/admin/agreement/{id}/,POST,UC-C-PIC-A-002,,Agreement,"Agreement, Revision",UPDATE - An existing Agreement object is created and returned together with AgreementRevision,FALSE,,adminUpdateAgreement,
/admin/agreement/,DELETE,UC-C-PIC-A-004,,,Revision,,FALSE,,adminDeleteAgreement,
Limited ConsentRecord operations,,,,,,,,,,
/admin/record/{id}/,GET,,,,ConsentRecord,READ - fetches a ConsentRecord,TRUE,,adminReadConsentRecord,
/admin/record/{id}/withdraw/,POST,,,,ConsentRecord,UPDATE - invalidates withdraws a ConsentRecord,TRUE,,adminUpdateConsentRecord,
"CRUD for ""Individual"" object",,,,,,,TRUE,,,
/admin/individual/,POST,,,RegistryReference,Individual,CREATE - Creates an Individual in the Consent system,TRUE,,adminIndividualCreate,
/admin/individual/{id}/,GET,,,,Individual,READ - Fetch an Individual in the Consent system,TRUE,,adminIndividualRead,
/admin/individual/{id}/,POST,,,,Individual,UPDATE - Updates an Individual in the Consent system,TRUE,,adminIndividualUpdate,
/admin/individual/{id}/,DELETE,,,,Individual,DELETE - entirely removes an individual from the system and cascades necessary actions to related ConsentRecord objects,TRUE,,adminIndividualDelete,
,,,,,,,,,,
,,,,,,,,,,
API tag: org,,,,,,,,,,
/org/config/agreement/,GET,,1.1,AgreementFilter,Agreement<List>,LIST - Fetch agreements,FALSE,,,
/org/consent/,GET,,"3.1, 1.2",ConsentRecordFilter,ConsentRecord<List>,"LIST - Fetch consent records. For a given Agreement and Individual, query if consent exists",TRUE,,,
/org/agreement/{id}/,GET,,1.2,,Agreement,READ - Fetch a specific agreement,FALSE,,,
/org/agreement-choice/{id}/,GET,,,,AgreementChoice,READ - Fetch an AgreementChoice,FALSE,,,
,,,,,,,,,,
API tag: individual,,,,,,,,,,
/individual/{pii}/agreement/{id}/,POST,,1.2,"Individual, Agreement, Revision","ConsentRecord, Revision","CREATE - For a particular Individual and a particular Agreement, create a new Consent Record pointing to the current Revision of a given Agreement",TRUE,,,
/individual/{pii}/consent-record/{id}/,POST,,,"Individual, Agreement, Revision","ConsentRecord, Revision",,TRUE,,,
/individual/{pii}/consent-record/{id}/withdraw/,POST,,,Individual,"ConsentRecord, Revision",,TRUE,,,
/individual/{pii}/,POST,,,Individual,,"DELETE - Cascading delete operation for Right To Be Forgotten, deletes all Consent Records that shall not be retained and have a ""forgettable"" Agreement.",TRUE,,,
,,,,,,,,,,
API tag: auditor,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
API tag: notification,,,,,,,,,,
,,,,,,,,,,
API tag: callback,,,,,,,,,,
/callback/registry-bb/revision-saved/{id}/,,,,RegistryReference,,"For asynchronous flows, the Consenent Management BB will require a callback from the Registry BB when saving and updating records on an Individual.",FALSE,,,
,,,,,,,,,,
,,,,,,,,,,
Questions / notes,,,,,,,,,,
"PII - Make Individual ID stored as some kind of anonymous token in HTTP headers, session state or like-wise. We should avoid spilling over individually identifiable data in HTTP server logs etc.",,,,,,,,,,
Right To Be Forgotten,,,,,,,,,,
List filters,,,,,,,,,,
"Should we have CRUD for ""Individual""?",,,,,,,,,,
"Is there a ""Registry BB"" (used in UC sequence diagrams) -- or just a Registration BB?",,,,,,,,,,
