Name,Type,FK,Description,Required,Flagged for further discussion,Originating spec / analysis,ISO mapping
Model: Individual,,,"Shallowly models an Individual which may reference some instance in an external system (registration system, functional ID, foundational ID etc). An Individual instance of this model is not to be mistaken with a unique natural individual. It is up to the system owner to decide if this record permits mapping to a natural individual and/or if a single Individual row can map to several consent agreements.",,,GovStack,
id,string,,The unique ID of an Individual row.,TRUE,FALSE,,
functional_id,string,,"Non-mandatory reference to a functional ID, which is likely PII",FALSE,TRUE,GovStack,
foundational_id,string,,Non-mandatory (natural) ID and PII,FALSE,TRUE,GovStack,
session_id,string,,An Individual may simply be mapped to a temporary session.,FALSE,TRUE,GovStack,
,,,,,,,
Model: Agreement,,,An agreement contains the specification of a single purpose that can be consented to. An Agreement is universal and can be consented to by *many* individuals through a ConsentRecord,,,ADA,
id,string,,,TRUE,FALSE,,
version,string,,The version of this specification to which a receipt conforms,TRUE,FALSE,ADA,
controller,fk,Controller,Data controller (may be omitted if no data involved),FALSE,FALSE,ADA,
policy,fk,Policy,Reference to the policy under which this Agreement shall be governed,TRUE,FALSE,ADA,
purpose,fk,AgreementPurpose,Purpose of data processing or purpose of consent. Displayed to the user.,TRUE,FALSE,ADA,
lawful_basis,string,,Lawful basis of the agreement - consent / legal_obligation / contract / vital_interest / public_task / legitimate_interest,TRUE,FALSE,ADA,
data_use,string,,null/data-source/data-using-service,FALSE,FALSE,ADA,
dpia,string,,Data Protection Impact Assessment,TRUE,FALSE,ADA,
lifecycle,fk,AgreementLifecycle,Current Lifecycle state of the Agreement,TRUE,TRUE,GovStack,
signature,fk,Signature,Signature of authorizing party of Agreement. Note: Signatures may be chained in case of multiple signatures.,FALSE,TRUE,GovStack,
active,boolean,,Agreement is active and new ConsentRecords can be created.,FALSE,FALSE,GovStack,
forgettable,boolean,,"Agreement may be deleted when consent is withdrawn, as its existence is not necessary for auditability.",FALSE,TRUE,GovStack,
,,,,,,,
Model: AgreementData,,,Agreement data contains specifications of exactly what is collected.,,,ADA*,
id,string,,,TRUE,FALSE,,
agreement,fk,Agreement,,TRUE,FALSE,ADA,
name,string,,"Name of the attribute, for instance ""name"" or ""age""",TRUE,FALSE,ADA,
sensitivity,string,,TBD: categories of sensitivity from som ISO,TRUE,FALSE,GovStack,
category,string,,,TRUE,FALSE,ADA,
hash,string,,"In order to sign an Agreement, this relation needs to have a cryptopgraphic hash to be included in the Signature of the Agreement.",TRUE,TRUE,GovStack,
,,,,,,,
Model: Policy,,,"A policy governs data and Agreement in the realm of an organisation that is refered to as ""data controller"" (GDPR) and owner of referencing Agreements.",,,ADA*,
id,string,,,TRUE,FALSE,,
name,string,,Name of the policy,TRUE,FALSE,ADA,
version,string,,Version of the policy,TRUE,FALSE,ADA,
url,string,,"Permanent URL at which this very version of the Policy can be read, should not be allowed to change over time.",TRUE,FALSE,ADA,
jurisdiction,string,,,FALSE,FALSE,ADA,
industry_sector,string,,,FALSE,FALSE,ADA,
data_retention_period_days,integer,,,FALSE,FALSE,ADA,
geographic_restriction,string,,,FALSE,FALSE,ADA,
storage_location,string,,,FALSE,FALSE,ADA,
,,,,,,,
Model: ConsentRecord,,,A Consent Record expresses consent (as defined in this building block's specification) to a single Agreement.,,,GovStack,
id,string,,,TRUE,FALSE,,
agreement,fk,Agreement,The agreement to which consent has been given,TRUE,FALSE,GovStack,
agreement_revision,fk,Revision,,TRUE,FALSE,GovStack,
individual,fk,Individual,The individual who has signed this consent record,TRUE,FALSE,GovStack,
opt_in,boolean,,True: The individual has positively opted in. False: The individual has explicitly said no (or withdrawn a previous consent).,FALSE,FALSE,GovStack,
state,string,,unsigned/pending more signatures/signed,TRUE,FALSE,GovStack,
signature,fk,Signature,"A signature that hashes all the values of the consent record and has signed it with the key of the Invidiual, making it verifiable and tamper-proof. TBD: Relation to a Signature schema?",TRUE,TRUE,GovStack,
,,,,,,,
Model: Revision,,,"A *generic* revision model captures the serialized contents of any shema's single row. This is then subject to 1) cryptographic signature and 2) auditing.

Aside from ""successor"" column, a revision should be considered locked.",,,GovStack,
id,string,,,TRUE,FALSE,,
